price,sqft_living
760000,2730
468000,3040
591000,1680
320000,1420
780000,4310
385000,830
725000,2350
324800,1170
1300000,3400
316000,730
450000,1530
429000,1920
403950,710
339000,1720
249000,1590
415000,1510
543000,1540
950000,2490
1240000,3820
180000,960
399950,2420
635000,2930
282900,1710
438900,2740
335000,1060
550000,3540
546800,2170
756000,2730
830000,3400
1090000,4170
670000,3340
409950,2430
355000,1850
432000,1470
292000,1950
494815,1910
1090000,2340
741500,2150
570000,1890
305000,1490
335000,1570
325000,1230
588500,2330
545000,2820
913000,2170
520000,2160
360000,2010
895990,3555
302000,1010
585000,2000
319502,1610
711600,3580
820000,3850
565000,2330
770000,2370
254000,1470
279000,1750
570000,1550
555000,2160
430000,1720
364950,2520
445000,3450
329500,3290
616000,2130
315000,1700
350000,1050
387500,1860
245000,390
225000,1400
1650000,5550
517500,1190
615500,1810
894000,3800
310000,1010
317000,1790
395000,1010
427200,1030
850000,3300
179500,1180
367950,2290
788500,2510
540000,1940
1010000,2860
569000,1230
273000,1540
460000,2008
615000,1780
825000,1150
1270000,4640
293500,1610
215000,1610
380000,1120
465000,1580
725000,3210
348000,1490
962800,3630
258000,750
510000,1950
319000,1610
2210000,3430
280000,420
1310000,3200
330000,1180
665000,3136
765000,3190
233000,1460
540000,2290
287000,1450
375000,1450
420000,1750
375000,2340
274500,1450
334000,890
380000,1200
270000,1870
304000,1670
337000,3200
289000,1260
233703,1650
625000,2360
687500,1040
640000,1540
382000,1360
420000,2110
490000,2020
464950,2230
479950,2810
265500,1450
425000,1680
379500,1640
975000,2240
255000,940
475000,1790
2230000,3760
755000,2880
3.00E+06,5370
591975,3230
970000,3980
179500,900
1260000,3230
840500,2520
850000,5440
258000,1790
525000,2420
195000,1510
535000,1610
9.00E+05,2460
401000,1120
574000,3240
503000,2860
287000,1730
242550,2060
555000,1940
411000,2370
485000,1130
665000,2280
650000,3060
905000,2980
399000,2100
980000,3160
632500,2720
729953,3230
335000,1090
579950,1810
1480000,3700
526000,1780
450000,2290
412000,1950
490000,1600
287000,1600
90000,580
699999,1460
475000,1640
295000,988
516130,1510
330000,1310
452000,1830
650000,2620
535000,2740
570000,1100
750000,2160
246000,1990
989000,3280
379950,1690
175000,800
818500,4790
816000,1180
302000,1170
390000,1870
450000,1900
427000,1600
730000,3230
384950,1860
675000,2460
315000,1030
380000,2760
310000,1020
690000,2480
410500,1110
650000,2330
322000,1510
557800,1550
252500,1810
1030000,2620
555000,2350
375000,1870
378510,770
940000,2720
335000,1350
389000,1380
360000,1630
565000,2230
858450,3460
405000,3672
295000,1850
825000,2810
635000,2350
738515,3360
1690000,3000
272500,2070
1250000,3160
225000,1700
480000,1960
316000,2120
490000,1970
1700000,4330
625000,1760
590000,1710
4.00E+05,1970
146000,780
745000,4720
545000,1550
219000,1370
470000,2100
732000,1940
380000,2100
440000,850
275000,2710
265000,1080
285000,1090
480000,1100
355000,1760
760000,2590
292000,1650
532500,2160
333800,1980
438000,1970
5.00E+05,1220
567000,2070
425000,1280
965000,3420
3.00E+05,1150
770000,2050
1.00E+06,2370
490000,2380
355000,2160
620000,1530
